idx,like,word,tfidfscore
74,1,accomplice,1
1791,1,ace,1
1886,1,acorns,1
4991,1,act,1
1917,1,action,1
4241,1,addictive,1
1008,1,admiral,1
895,1,admit,1
4959,1,adopted,1
3143,1,adults,1
39,1,advances,1
4071,1,adventurers,1
3744,1,africa,1
3576,1,ages,1
1909,1,agrees,1
3696,1,ahead,1
2575,1,aim,1
914,1,alibi,1
4778,1,aliens,1
5151,1,alive,1
218,1,alliance,1
2671,1,allies,1
3847,1,allowed,1
900,1,alternative,1
4215,1,amazing,1
1816,1,ambassador,1
228,1,ambush,1
443,1,america,1
3588,1,amigo,1
2057,1,ancients,1
1311,1,angst,1
3606,1,animals,1
4873,1,animation,1
3391,1,answers,1
544,1,anticipating,1
1134,1,ants,1
5270,1,anytime,1
1387,1,apocalypse,1
4794,1,apply,1
1633,1,april,1
1817,1,archbishop,1
4434,1,archer,1
3692,1,archive,1
3009,1,armageddon,1
2636,1,armed,1
2767,1,armies,1
3921,1,army,1
378,1,array,1
1113,1,artifact,1
1404,1,artillery,1
3663,1,asia,1
2439,1,assassin,1
147,1,asteroids,1
2826,1,athlete,1
4072,1,attacks,1
3976,1,attention,1
2251,1,augmented,1
2092,1,august,1
3096,1,australia,1
21,1,author,1
2348,1,autobiography,1
3957,1,awards,1
5287,1,away,1
1785,1,awesome,1
4971,1,background,1
2226,1,backstory,1
4666,1,bad,1
3888,1,bag,1
4636,1,ball,1
4124,1,bananas,1
104,1,banishment,1
257,1,barker,1
1818,1,baron,1
916,1,barter,1
740,1,based,1
4488,1,basics,1
5033,1,battalion,1
4103,1,battle,1
1283,1,battlefield,1
2824,1,battles,1
4807,1,battleship,1
2631,1,beach,1
3814,1,bear,1
4793,1,beatles,1
2931,1,beginning,1
3033,1,begins,1
2145,1,believe,1
2224,1,believed,1
1884,1,bells,1
454,1,belongs,1
4650,1,best,1
4213,1,better,1
4755,1,beware,1
4967,1,bills,1
3146,1,biplane,1
4684,1,bites,1
2526,1,bits,1
2476,1,blight,1
3145,1,blimp,1
4601,1,blizzard,1
1854,1,block,1
4712,1,blue,1
2252,1,blurred,1
4973,1,body,1
1160,1,bodyguard,1
2833,1,bombardments,1
755,1,bombers,1
4473,1,bones,1
3546,1,bonus,1
2758,1,book,1
2177,1,boosters,1
2274,1,born,1
3564,1,box,1
2006,1,boxed,1
3083,1,boxing,1
2718,1,boy,1
891,1,brainbending,1
3299,1,brainiac,1
4011,1,brakes,1
5279,1,break,1
3149,1,brick,1
101,1,bridge,1
2827,1,brilliant,1
3160,1,british,1
2016,1,broadway,1
4174,1,brothers,1
32,1,bruges,1
431,1,bruxelles,1
2483,1,buck,1
5063,1,bucket,1
1853,1,buddha,1
3929,1,bug,1
3933,1,bugs,1
1931,1,building,1
3159,1,bulgarians,1
3473,1,bummer,1
4881,1,burns,1
214,1,business,1
917,1,bystander,1
984,1,calamities,1
1825,1,california,1
3125,1,camden,1
277,1,came,1
3,1,campaign,1
3920,1,cannon,1
2842,1,cannons,1
383,1,canyon,1
1732,1,capable,1
1712,1,capitalization,1
945,1,capitol,1
1197,1,capture,1
2779,1,capturing,1
5218,1,car,1
4111,1,caramba,1
3810,1,card,1
3781,1,careful,1
5346,1,carry,1
851,1,cars,1
1610,1,carthage,1
4632,1,cartoons,1
5002,1,case,1
4535,1,cast,1
3918,1,castle,1
3577,1,cat,1
